Nombre,Colonia,Alcaldia,Latitud,Longitud,Puntos_de_acceso,Programa,Costo_punto,Retorno_inv
(RIO MIXCOAC) SANTA LUCIA II,SANTA LUCIA 2502,Álvaro Obregón,19.35617122,-99.25189002,4,PILARES,12000,1200
(SAN FRANCISCO) FERROCARRIL DE CUERNAVACA,SAN FRANCISCO 2417,La Magdalena Contreras,19.31246101,-99.23339366,5,PILARES,15000,1500
8 DE AGOSTO,8 DE AGOSTO 2068,Benito Juárez,19.39549,-99.187888,4,PILARES,12000,1200
ACAHUALTEPEC,SANTIAGO ACAHUALTEPEC 2DA AMPLIACION 2530,Iztapalapa,19.346043,-99.008134,2,PILARES,6000,600
ACUEXCOMATL,SAN LUIS TLAXIALTEMALCO,Xochimilco,19.261002,-99.028635,4,PILARES,12000,1200
ADOLFO LOPEZ MATEOS (SANTA CRUZ MEYEHUALCO),SANTA CRUZ MEYEHUALCO 2497,Iztapalapa,19.348739,-99.04458,6,PILARES,18000,1800
AGRÍCOLA ORIENTAL (SACMEX),AGRICOLA ORIENTAL,Iztacalco,19.386486,-99.064429,7,PILARES,21000,2100
AGRÍCOLA PANTITLÁN,AGRICOLA PANTITLAN,Iztacalco,19.415431,-99.068333,1,PILARES,3000,300
AHUALAPA,SANTA CRUZ ACALPIXCA,Xochimilco,19.246294,-99.070251,3,PILARES,9000,900
ALAMEDA ORIENTE,MEXICO,Venustiano Carranza,19.431766,-99.053946,5,PILARES,15000,1500
ALÍ CHUMASERO,LA PURISIMA TICOMAN,Gustavo A. Madero,19.512242,-99.13989,5,PILARES,15000,1500
AMPLIACIÓN PROVIDENCIA,PROVIDENCIA 2395,Gustavo A. Madero,19.4787683,-99.0724832,5,PILARES,15000,1500
ANA BOLENA,MIGUEL HIDALGO 2335,Tláhuac,19.291943,-99.054019,6,PILARES,18000,1800
APATLACO,CAMPAMENTO 2 DE OCTUBRE 2118,Iztapalapa,19.38193034,-99.11484366,5,PILARES,15000,1500
ÁRBOL DEL CONOCIMIENTO,LA CAÑADA 2DA SECCION,Álvaro Obregón,19.3842972,-99.2221,6,PILARES,18000,1800
ATLAMPA,ATLAMPA,Cuauhtémoc,19.45922,-99.16032,3,PILARES,9000,900
ATLETICO MEXICANO,CHINAMPAC DE JUAREZ,Iztapalapa,19.37479668,-99.06294963,6,PILARES,18000,1800
ATOCPAN,TULA,Milpa Alta,19.2027167,-99.0520528,2,PILARES,6000,600
AV DEL TALLER,JARDIN BALBUENA 2225,Venustiano Carranza,19.413715,-99.113186,2,PILARES,6000,600
BAMBU,LOMAS DE LA ESTANCIA,Iztapalapa,19.340415,-99.005283,3,PILARES,9000,900
BARRIO NORTE II,BARRIO NORTE,Álvaro Obregón,19.379565,-99.206473,3,PILARES,9000,900
BATALLA DE SANTA ROSA,ALVARO OBREGON 2077,Iztapalapa,19.37166146,-99.0362755,3,PILARES,9000,900
BELÉN DE LAS FLORES,BELEM DE LAS FLORES 2101,Álvaro Obregón,19.397066,-99.217629,2,PILARES,6000,600
BELVEDERE,2 DE OCTUBRE 2062,Tlalpan,19.2673742,-99.2291582,4,PILARES,12000,1200
BENEMÉRITO DE LAS AMÉRICAS,EL ARBOLILLO,Gustavo A. Madero,19.535054,-99.138472,5,PILARES,15000,1500
BENITA GALEANA,NUEVA TENOCHTITLAN,Gustavo A. Madero,19.455286,-99.100512,1,PILARES,3000,300
BENITO JUÁREZ (CHAMIXTO),LOMA DEL PADRE,Cuajimalpa de Morelos,19.348254,-99.309431,3,PILARES,9000,900
BODOQUEPA,LA ASUNCION,Xochimilco,19.2687491,-99.10027743,4,PILARES,12000,1200
BOSQUE DE ARAGON,SAN JUAN DE ARAGON IV SECCION 2440,Gustavo A. Madero,19.46382056,-99.07882453,5,PILARES,15000,1500
BOSQUES,BOSQUES DEL PEDREGAL,Tlalpan,19.2713222,-99.2393052,3,PILARES,9000,900
BOSQUES METROPOLITANA (BOSQUES DEL PEDREGAL),BOSQUES DEL PEDREGAL,Tlalpan,19.27081322,-99.24341866,4,PILARES,12000,1200
BUENAVISTA,BUENAVISTA,Cuauhtémoc,19.449585,-99.147484,6,PILARES,18000,1800
BUENOS AIRES (ANDRADE),BUENOS AIRES,Cuauhtémoc,19.40562933,-99.14694525,7,PILARES,21000,2100
CALHUACATZINGO (SALINAS),LAS SALINAS,Azcapotzalco,19.489081,-99.166313,4,PILARES,12000,1200
CALMECAC,MIRAVALLES 2339,Iztapalapa,19.33414927,-98.99696903,4,PILARES,12000,1200
CANDELARIA DE LOS PATOS,ZONA CENTRO 2603,Venustiano Carranza,19.4317868,-99.1199081,9,PILARES,27000,2700
CANDELARIA TICOMAN,CANDELARIA TICOMAN 3254325325,Gustavo A. Madero,19.52275167,-99.13256633,4,PILARES,12000,1200
CANEGUÍN,ARGENTINA ANTIGUA,Miguel Hidalgo,19.454707,-99.205167,3,PILARES,9000,900
CANTERA,CIUDAD UNIVERSITARIA,Coyoacán,19.317944,-99.171981,3,PILARES,9000,900
CARLOS PACHECO,EJERCITO DE ORIENTE,Iztapalapa,19.3672784,-99.02813695,5,PILARES,15000,1500
CARLOTA BOTEY,LOS ANGELES,Iztapalapa,19.340985,-99.066251,4,PILARES,12000,1200
CASA AMARILLA,OBSERVATORIO,Miguel Hidalgo,19.40647118,-99.1892806,2,PILARES,6000,600
CASAS ALEMÁN (GRAN CANAL),AMPLIACION CASAS ALEMAN,Gustavo A. Madero,19.478371,-99.089908,6,PILARES,18000,1800
CASTILLO CHICO,CASTILLO CHICO 3474347347,Gustavo A. Madero,19.5445695,-99.13472499,4,PILARES,12000,1200
CENDI CASAS ALEMÁN (HEROES DE CERRO PRIETO),CERRO PRIETO,Gustavo A. Madero,19.4529497,-99.0980173,2,PILARES,6000,600
CENDI ESTRELLA,ESTRELLA,Gustavo A. Madero,19.4759447,-99.1156934,3,PILARES,9000,900
CENDI GERTRUDIS SANCHEZ,GERTRUDIS SANCHEZ 2DA SECCION 2209,Gustavo A. Madero,19.464174,-99.1013549,2,PILARES,6000,600
CENDI RAMON CORONA,INDUSTRIAL,Gustavo A. Madero,19.4760493,-99.1244396,2,PILARES,6000,600
CENDI TRES ESTRELLAS,TRES ESTRELLAS,Gustavo A. Madero,19.4713525,-99.1108762,3,PILARES,9000,900
CENDI ZAPATA (TABLAS DE SAN AGUSTIN),TABLAS DE SAN AGUSTIN,Gustavo A. Madero,19.4633807,-99.115775,3,PILARES,9000,900
CENTENARIO,JUAN GONZALEZ ROMERO,Gustavo A. Madero,19.5091056,-99.0906167,1,PILARES,3000,300
CENTRAL DE ABASTO,SAN JOSE,Iztapalapa,19.373836,-99.099146,2,PILARES,6000,600
CENTRO COMUNITARIO PANTITLAN (TLALOC),AGRICOLA PANTITLAN,Iztacalco,19.42006445,-99.05994943,4,PILARES,12000,1200
CERRO AZUL,BUENAVISTA,Iztapalapa,19.326091,-99.02777,4,PILARES,12000,1200
CERRO DE LA ESTRELLA,SAN JUAN CERRO,Iztapalapa,19.345522,-99.081296,2,PILARES,6000,600
CEYLAN,EUSKADI,Azcapotzalco,19.47790326,-99.16306514,7,PILARES,21000,2100
CHABACANO,OBRERA,Cuauhtémoc,19.407965,-99.136122,2,PILARES,6000,600
CHALMITA,SAN MIGUEL,Milpa Alta,19.183356,-99.075385,4,PILARES,12000,1200
CHAMONTOYA,LOMAS DE CHAMONTOYA,Álvaro Obregón,19.318208,-99.267811,4,PILARES,12000,1200
CHICHICASPALT,PEDREGAL DE SAN NICOLAS 4TA SECCION,Tlalpan,19.277821,-99.24,3,PILARES,9000,900
CHICLERA (PROGRESISTA),PROGRESISTA,Venustiano Carranza,19.43592758,-99.10828927,3,PILARES,9000,900
CHICOASEN,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,Tlalpan,19.29135274,-99.2300306,3,PILARES,9000,900
